Anime Name,Episode Number,Episode URL
"My Status as an Assassin Obviously Exceeds the Hero's",7,"https://animepahe.si/play/d6f0f7bc-64bc-8ef2-1e72-6b958eb8ab3e/c0d677b7dfecfed42de37a76019836b01fce21f329187c3c6a4b48ac08c4d852"
"Gintama - Mr. Ginpachi's Zany Class",7,"https://animepahe.si/play/1c54461a-7af4-9589-ed8f-0575a5b02160/c785472915db72d72068b92ffe0e1cd5322479521f4f3a257b16fbc933daa152"
"A Gatherer's Adventure in Isekai",8,"https://animepahe.si/play/365871a1-0bb0-3105-cf56-61d492ebda9f/53dc6f6f4c086a25c37c8437f6e78ca972a3c403180211a854af11749bacf431"
"Plus-sized Misadventures in Love!",7,"https://animepahe.si/play/66ef232b-a708-83c5-c566-3db3457de325/ecdd483c92ea70b521c78c3435c05bd94a0518f76ebe0d490d62642fa73495d6"
"Isekai Quartet 3",6,"https://animepahe.si/play/30ce2440-6c69-600c-72e9-955980e84267/a422b7b8dc7df943388cab9167f492875043fd5f4118a90483d2ac2f0d2cc331"
"A Mangaka's Weirdly Wonderful Workplace",7,"https://animepahe.si/play/c478c831-4504-defb-374e-97a6d04bed65/da81b88112dcb54be1650bf1be8c938aaa59f68db04be5ad12348c1024d54444"
"One-Punch Man Season 3",6,"https://animepahe.si/play/f94518e6-bfc9-4939-ab47-a7a2caaac573/639d5b8c63435502fbff8bf508ecf27070aadd1e2b0eb0aa68de999781dc4d9f"
"Hands Off: Sawaranaide Kotesashi-kun",7,"https://animepahe.si/play/9e16d651-1ccb-136b-a056-8bd3ba9cb0b6/75f8456669f3616765ed5462cb9f115e56d43eb9ae38a2bea2c429f9fc32e429"
"The Fated Magical Princess: Who Made Me a Princess",10,"https://animepahe.si/play/8d6dcc6d-66dd-dd3a-0c0e-5ded6ac79482/a92080e31702ec8e554be863e2786256d5a851d3a91bce9bfc62978b89645d1e"
"One Piece",1150,"https://animepahe.si/play/d58fc9f8-582e-fdf0-3618-112cd54ed5ab/589f50349cf85858b424e9908791c627bddf35049b6e69323bf5e8e1e6e1fbb5"
